payment_id^order_id^payment_method^amount^currency^payment_timestamp
1^778^bank_transfer^error_amount^EUR^2025-04-14 23:23:52
2^941^bank_transfer^407.42^USD^2024-12-15 23:01:24
3^1173^paypal^1754.7^USD^2025-05-03 14:55:30
4^143^card^2372.04^RUB^2026-02-05 00:19:38
5^864^card^2366.62^EUR^2025-06-18 21:21:20
6^1139^^747.97^RUB^2025-02-03 15:11:50
7^239^card^error_amount^EUR^2026-01-01 19:45:57
8^14^bank_transfer^1189.89^RUB^2025-05-05 22:59:37
9^685^^1016.84^EUR^2025-01-18 04:06:47
10^1216^^2574.49^EUR^2026-02-22 05:19:19
11^493^^519.11^RUB^2026-04-05 05:14:09
12^290^^2416.24^EUR^13/45/2025
13^949^card^1074.09^RUB^2025-01-07 20:58:25
14^187^bank_transfer^error_amount^USD^2026-04-22 23:43:11
15^388^^692.44^RUB^13/45/2025
16^351^card^2873.16^EUR^2025-06-15 23:48:07
17^1174^^2722.57^RUB^2025-12-27 15:25:25
18^218^card^32.74^RUB^2025-10-17 19:21:28
19^1128^card^1320.86^RUB^2026-01-24 15:22:18
20^964^paypal^1773.85^RUB^2026-04-18 18:50:53
21^104^bank_transfer^2078.38^USD^2025-09-23 21:42:47
22^443^card^1446.68^RUB^2024-07-18 23:21:20
23^1192^^2937.69^USD^2025-08-20 09:24:08
24^637^card^2415.04^RUB^2026-03-08 22:16:13
25^977^paypal^306.0^USD^2024-10-09 08:22:51
26^1100^paypal^180.84^RUB^2024-10-14 12:24:00
27^319^card^2781.33^EUR^2024-06-03 07:38:28
28^433^paypal^284.27^RUB^2025-03-20 01:06:42
29^738^paypal^2583.56^RUB^2026-02-16 04:26:00
30^27^paypal^50.42^USD^2025-06-23 16:01:32
31^306^paypal^1909.45^USD^2025-12-18 04:57:11
32^261^card^409.14^USD^2025-10-09 13:32:24
33^268^card^1131.33^EUR^2026-05-08 21:31:05
34^404^card^1019.69^RUB^2025-09-23 11:17:29
35^1219^paypal^2953.4^EUR^2025-11-08 18:01:05
36^197^paypal^1381.62^USD^2025-06-05 04:43:10
37^1226^card^2308.36^EUR^2024-07-28 14:15:10
38^152^^2054.26^EUR^2024-10-10 20:08:34
39^326^paypal^1146.8^USD^2025-05-15 02:28:16
40^1109^bank_transfer^2833.45^USD^2025-01-15 17:59:28
