event_id,customer_id,event_type,event_timestamp,product_id
1,483,view,2025-06-23 18:40:09,281
2,550,login,2025-11-30 00:01:33,20
3,570,login,2025-02-16 21:53:55,588
4,213,view,2025-07-12 08:14:08,408
5,202,purchase,2025-04-03 12:11:22,453
6,407,purchase,2025-09-16 03:22:28,593
7,649,purchase,2025-12-19 00:43:43,416
8,211,click,2025-08-19 00:00:37,472
9,143,logout,2025-09-11 03:25:39,603
10,646,view,2024-10-25 05:32:16,587
11,269,view,2026-03-15 11:17:56,113
12,186,login,2026-01-05 11:55:07,581
13,472,login,2026-02-24 06:50:07,27
14,422,logout,2026-01-14 09:38:05,337
15,226,view,2024-08-07 00:54:45,399
16,111,logout,,411
17,736,logout,2024-07-06 19:51:55,600
18,35,view,2025-07-17 12:46:22,238
19,279,click,2025-04-30 21:23:00,430
20,494,click,2025-05-18 07:42:20,281
21,547,purchase,2025-08-06 10:01:35,577
22,559,purchase,2025-11-24 21:01:34,64
23,73,login,2024-07-20 19:21:47,39
24,76,logout,2024-07-23 17:52:12,411
25,11,logout,2025-02-17 20:02:38,605
26,679,view,2024-09-11 09:56:23,320
27,672,click,2024-06-23 06:44:36,40
28,155,login,2025-07-22 02:25:51,122
29,414,view,2025-12-21 15:16:26,75
30,636,click,2025-11-17 13:12:55,125
31,206,purchase,2026-05-15 15:57:41,268
32,160,click,2024-11-04 15:02:32,77
33,436,login,2025-05-12 05:14:11,99
34,498,logout,2025-03-18 12:01:58,557
35,392,purchase,2025-07-20 14:23:44,102
36,719,login,2026-01-15 20:18:11,139
37,723,purchase,2025-06-29 07:09:59,17
38,139,login,2025-05-24 03:41:19,5
39,166,logout,2025-03-26 03:32:01,91
40,297,click,2026-05-03 12:29:43,471
41,648,click,2025-05-16 22:32:18,77
42,623,login,2024-11-20 18:16:28,523
43,378,purchase,2026-04-17 01:31:12,193
44,620,logout,2025-08-09 16:28:40,82
45,39,login,2025-07-29 01:51:50,114
46,674,view,2025-08-23 21:51:31,294
47,174,click,2026-05-15 02:49:11,291
48,50,click,2025-11-20 11:18:35,344
49,224,login,2024-12-04 07:32:59,444
50,678,view,2024-09-14 06:58:56,260
51,353,purchase,2026-02-12 04:31:22,509
52,320,view,2025-11-13 01:08:20,373
53,290,view,2025-03-22 10:28:31,478
54,598,logout,2025-09-26 12:02:47,539
55,368,logout,2024-11-24 22:10:22,584
56,613,view,2026-05-09 23:05:26,109
57,606,purchase,2025-10-14 03:59:33,357
58,680,click,2025-06-06 16:21:47,517
59,304,click,2025-10-04 20:23:25,89
60,467,login,2025-06-16 06:21:19,371
61,415,purchase,2025-05-28 16:05:21,9
62,0,view,2024-11-09 21:14:10,282
63,114,view,2024-07-15 20:40:33,388
64,522,login,2025-07-21 01:05:00,267
65,42,logout,2025-06-11 18:31:24,106
66,0,login,2026-05-23 23:17:14,614
67,61,view,2026-05-16 05:34:03,550
68,0,login,2026-03-01 10:15:48,514
69,738,purchase,2025-06-16 04:47:23,166
70,144,logout,2024-08-28 06:45:43,180
71,570,view,2025-11-10 09:47:00,483
72,335,logout,2024-09-16 17:05:11,621
73,606,view,,95
74,40,logout,2025-11-07 05:54:10,620
75,119,view,2026-03-26 20:55:00,253
76,356,purchase,2025-05-30 15:15:57,454
77,150,logout,2024-12-20 00:32:57,8
78,448,purchase,2026-02-13 23:01:02,570
79,42,login,2024-07-26 21:20:08,30
80,131,view,2026-04-15 22:15:07,25
81,308,purchase,2025-06-13 00:37:43,338
82,249,logout,2024-10-02 08:03:46,130
83,523,view,2025-01-12 15:07:13,269
84,295,login,2025-05-02 05:21:19,295
85,644,view,2025-09-14 04:47:41,523
86,691,logout,2025-08-28 15:16:21,395
87,228,login,2024-08-18 21:46:47,573
88,658,view,2024-06-04 02:23:30,233
89,476,view,2026-05-10 08:27:12,100
90,228,logout,2025-07-01 03:43:23,456
91,257,click,2025-06-19 07:29:42,413
92,611,purchase,2025-02-23 07:17:55,566
93,331,login,2024-07-10 03:08:37,607
94,586,view,2025-05-03 08:36:36,285
95,192,view,2025-03-16 05:18:29,618
96,441,view,2024-09-09 08:15:19,368
97,157,logout,2024-11-21 14:32:15,387
98,69,login,2026-01-18 10:19:32,471
99,247,purchase,2026-05-15 00:05:23,45
100,85,click,2024-10-28 11:35:19,96
101,229,logout,2024-06-12 14:10:17,602
102,566,purchase,2025-07-13 10:30:45,21
103,525,login,2025-02-01 22:06:59,631
104,629,logout,2024-09-01 17:49:37,303
105,276,login,2026-01-16 16:29:31,185
106,331,view,2025-10-31 19:35:39,189
107,247,purchase,2024-07-19 15:29:32,309
108,0,view,2025-02-07 08:25:42,466
109,727,view,2025-12-06 19:55:09,351
110,253,login,2024-08-10 23:12:17,336
111,548,login,2024-08-23 13:48:34,599
112,30,login,2024-07-26 19:13:49,388
113,16,click,2025-04-27 09:42:38,63
114,245,click,2025-03-14 17:44:05,148
115,636,logout,2024-11-16 23:51:55,186
116,228,purchase,2026-04-08 23:05:26,143
117,538,view,2025-05-20 14:25:32,144
118,620,click,2025-11-16 22:25:13,633
119,615,click,2025-12-19 22:48:34,303
120,161,click,,90
121,418,click,2026-05-09 13:31:37,368
122,701,click,2024-11-22 00:57:54,392
123,619,view,2025-11-29 09:58:51,130
124,364,click,2025-10-27 03:33:02,237
125,601,view,2026-02-26 08:47:23,367
126,8,view,2025-05-05 21:25:18,600
127,50,click,2025-11-22 12:02:08,217
128,383,login,2026-05-16 21:39:52,87
129,619,view,2024-11-28 15:36:34,189
130,726,purchase,2024-10-26 00:47:48,386
131,150,purchase,2024-10-01 07:18:44,288
132,717,logout,2025-12-27 04:27:55,363
133,615,login,2025-04-01 09:47:00,637
134,147,purchase,2025-03-25 00:57:54,353
135,745,click,2024-09-25 10:47:48,240
136,85,login,2026-03-08 19:57:10,548
137,78,login,2025-05-20 17:20:34,295
138,251,view,2025-12-31 04:19:41,362
139,201,view,2025-05-13 15:29:15,463
140,511,login,2024-09-16 11:56:41,349
141,60,login,2026-03-08 00:11:12,429
142,69,logout,2025-08-06 22:19:02,89
143,718,login,2025-10-20 11:39:58,417
144,679,logout,2026-03-22 10:51:53,136
145,252,view,2025-12-13 22:39:24,642
146,561,login,,645
147,490,click,2026-03-17 05:37:31,139
148,155,login,2024-11-08 01:57:45,365
149,600,click,2024-06-25 22:08:56,530
150,738,logout,2024-08-23 07:48:43,226
151,510,purchase,2025-11-26 07:27:02,621
152,320,view,,251
153,465,click,2025-10-18 21:16:03,551
154,579,click,2026-04-21 14:41:13,75
155,213,login,2025-03-23 09:54:21,642
156,515,login,2026-05-08 16:12:11,130
157,491,logout,2024-10-20 14:54:40,106
158,503,click,2024-09-30 14:13:48,509
159,423,view,2024-12-22 02:12:45,350
160,216,click,2026-03-31 22:58:08,101
161,282,view,2026-02-11 05:56:41,362
162,168,login,2025-12-11 04:02:26,442
163,456,click,2024-08-06 23:43:34,378
164,66,login,2025-02-22 04:12:08,287
165,324,click,2025-04-03 01:58:44,255
166,501,purchase,2025-12-25 09:06:32,322
167,396,login,2026-04-03 05:18:24,452
168,524,login,2025-09-12 02:20:14,286
169,592,purchase,2024-07-12 12:15:40,23
170,315,click,2026-04-04 21:51:14,424
171,593,logout,2026-01-16 12:44:18,393
172,547,view,2025-02-17 09:30:03,56
173,432,login,2025-12-15 02:54:50,505
174,184,click,2025-10-09 16:35:58,23
175,629,click,2024-10-16 17:38:57,276
176,142,logout,2025-01-25 22:43:27,448
177,673,view,2025-05-06 18:44:25,201
178,300,login,2024-09-04 01:17:32,7
179,294,login,2024-12-08 22:53:02,475
180,141,logout,2025-01-28 04:12:58,54
181,0,click,2024-12-20 20:15:50,543
182,138,login,2025-01-13 04:03:51,148
183,249,click,2024-07-13 00:28:09,582
184,716,purchase,2024-09-06 08:59:35,405
185,500,login,,202
186,417,click,2026-02-01 10:50:39,533
187,437,view,2025-06-19 05:00:21,142
188,0,view,2025-04-17 06:57:03,531
189,300,purchase,2026-03-28 00:55:23,260
190,557,click,2024-10-07 00:19:49,463
191,692,view,2024-09-01 20:46:40,522
192,171,logout,2026-05-01 07:53:23,511
193,742,view,2025-08-12 16:20:47,391
194,9,purchase,2025-03-22 05:57:04,293
195,446,logout,2026-01-08 17:08:25,576
196,380,purchase,2026-01-20 22:42:59,54
197,117,click,2024-07-10 00:46:30,379
198,96,click,2025-08-24 06:44:19,1
199,80,purchase,2024-11-22 21:00:15,113
200,487,logout,2026-02-07 19:59:19,62
201,554,click,2026-03-23 21:50:45,522
202,591,view,2024-06-13 23:02:31,70
203,63,purchase,2024-08-24 05:30:53,357
204,416,logout,2024-06-09 23:59:10,219
205,339,view,2025-12-13 00:24:07,223
206,489,purchase,2025-03-06 23:32:06,52
207,202,view,2025-11-18 20:44:37,413
208,529,login,2026-03-11 13:07:23,113
209,499,login,2025-08-25 23:24:44,37
210,94,logout,2026-02-18 08:53:37,474
211,673,logout,2024-10-22 15:02:26,573
212,662,login,2025-09-03 22:26:56,447
213,96,logout,2026-03-04 09:23:26,435
214,530,view,2026-02-05 04:57:02,585
215,482,login,2025-07-10 17:50:06,594
216,730,click,2025-06-04 17:17:12,68
217,488,purchase,2025-03-28 10:01:04,341
218,550,click,2025-07-05 21:49:54,553
219,69,login,2025-07-19 10:35:46,154
220,559,purchase,2026-05-04 11:21:54,254
221,593,logout,2026-03-07 13:10:23,164
222,398,click,2025-01-07 16:39:49,494
223,344,view,2025-01-07 11:55:04,553
224,275,login,2026-02-08 13:35:36,620
225,0,click,,528
226,350,login,2024-07-01 10:55:56,394
227,441,click,2024-10-16 01:03:52,72
228,654,view,2024-09-12 08:47:21,129
229,531,purchase,2025-03-12 05:58:39,245
230,5,login,2025-08-18 22:08:06,8
231,549,login,2025-08-08 18:07:44,9
232,655,click,2025-10-26 16:26:32,171
233,496,login,2026-01-23 02:59:45,119
234,124,logout,2025-09-04 09:02:35,327
235,132,login,2026-02-28 20:41:19,400
236,0,logout,2025-08-19 14:44:21,454
237,85,view,2024-05-29 11:07:19,286
238,145,purchase,2026-01-20 01:17:01,54
239,358,login,2025-05-09 22:08:34,458
240,481,logout,2025-08-28 20:07:58,438
241,124,logout,2025-08-08 17:08:17,111
242,386,logout,2025-08-13 22:56:07,409
243,413,login,2025-02-17 13:33:07,622
244,625,login,2026-02-06 19:31:55,241
245,200,purchase,,630
246,731,click,2026-01-22 18:34:32,289
247,142,login,2025-04-15 12:31:19,374
248,201,logout,2024-08-14 06:20:58,187
249,131,logout,2025-09-22 20:32:39,265
250,250,view,2024-10-06 20:34:48,371
251,710,click,2024-09-07 16:52:42,117
252,343,logout,2024-12-09 01:28:03,337
253,39,view,2025-10-21 10:30:40,407
254,726,click,2026-01-24 18:20:18,32
255,0,login,2025-03-04 06:26:57,586
256,735,purchase,2026-02-08 09:50:58,345
257,613,logout,2025-03-05 21:30:38,209
258,226,logout,2026-03-18 20:47:27,212
259,367,view,2025-05-04 08:10:46,111
260,291,login,2025-11-16 11:39:54,259
261,394,logout,2024-09-22 08:01:18,649
262,397,click,2025-06-16 15:16:04,24
263,213,login,2025-04-04 13:51:22,418
264,434,logout,2025-12-01 13:47:26,403
265,552,logout,2025-11-12 00:37:29,511
266,686,view,2025-05-19 16:10:22,36
267,706,click,,401
268,681,purchase,2025-09-05 00:56:30,387
269,18,logout,,347
270,287,click,2025-07-27 15:06:12,118
271,411,click,2026-04-17 14:39:51,203
272,241,login,2025-09-19 22:34:47,223
273,391,click,2024-08-15 16:20:48,92
274,60,view,2025-10-17 00:23:58,539
275,610,view,2025-02-06 06:29:46,534
276,117,purchase,2024-12-22 22:06:44,545
277,46,click,2024-08-20 15:09:26,286
278,67,logout,2025-05-26 15:37:11,640
279,700,click,2025-09-02 22:30:13,269
280,724,login,2025-07-10 23:44:56,91
281,249,login,2025-12-14 13:11:42,26
282,525,view,2026-03-28 08:14:49,141
283,691,logout,2025-09-30 10:58:58,586
284,311,purchase,2025-05-16 22:08:11,4
285,356,click,2025-07-20 19:39:05,91
286,38,logout,2026-04-01 01:25:09,251
287,9,login,2025-12-17 03:45:14,208
288,620,logout,2026-02-26 12:14:37,143
289,97,view,2024-10-06 09:18:51,144
290,684,click,2024-06-29 22:43:42,418
291,365,view,2025-02-06 10:55:58,498
292,438,view,2024-06-09 01:40:52,491
293,408,click,2025-02-26 21:32:00,556
294,222,click,2025-04-07 04:56:55,539
295,681,view,2025-11-25 10:42:03,407
296,656,login,2025-11-10 00:49:39,163
297,189,login,2025-07-06 17:06:19,528
